State;Up;Down;Left;Right;Stay
3,2|15,19;0;0.6;0;0;0
3,1|15,18;-0.45;0;0;0;0
3,2|15,17;-0.288;0;0;-0.45;0
4,2|15,16;-0.45;0;0;-0.45;0
4,3|15,15;0;0;0;-0.45;-0.15
5,3|16,15;-0.288;0;0;-0.45;-0.15
6,3|17,15;0;0.6;0.6;0;-0.15
6,3|17,14;0;1.86156;1.02;-0.45;-0.15
6,3|17,13;-0.45;1.02;0;0;0
6,2|17,12;-0.45;0;0;-0.765;-0.093
6,3|17,11;-0.45;0.6;0.8070523;0;0
6,4|17,10;-0.45;0.6;0;-0.45;0
6,5|16,10;0;0;0;-0.765;-0.15
7,5|16,9;-0.4314438;0;0;-0.45;-0.15
7,5|16,8;0;0;0;-0.45;-0.15
7,5|16,7;0;0;0.6;0;0
6,5|16,6;-0.45;0.9921858;0;0;0
6,6|15,6;-0.15;-0.7614486;1.522066;-0.45;0
6,5|15,5;2.151356;0;0;-0.922924;0
7,5|15,4;1.740107;0;1.655716;0;0
7,6|15,3;-0.3099438;-0.45;1.711208;-0.764748;-0.1184545
7,6|15,2;0;-0.7344;2.27847;-0.747;-0.3705828
7,6|15,1;0.03469331;-0.45;0;-0.5301476;0.2783247
7,6|14,1;-0.21795;-0.5742252;1.322058;-0.3136421;0
7,6|13,1;-0.23646;-0.416142;2.003154;-0.45;-0.2743155
7,6|13,2;-0.255;-0.45;0.618;-0.765;0
7,6|13,3;0;-0.45;0;0;-0.14676
7,5|12,3;1.038;0;0;0;0
7,6|11,3;0;-0.7344;0.6;-0.33246;-0.132
6,6|10,3;-0.15;-0.08547948;0;0;-0.255
6,6|9,3;-0.15;-0.41004;1.2954;-0.5174797;0
7,6|8,3;-0.15;-0.765;2.316255;-0.1605546;0.5628629
7,6|8,4;-0.093;-0.747;2.598448;-0.1429416;-0.15
7,6|7,4;0.08594395;-0.765;0.426;0.528459;0.07850775
7,6|7,5;-0.3285;-1.13985;-0.03000001;1.584011;-0.4411755
7,6|7,6;0;0;0;0;0
13,15|12,17;-0.45;-0.15;-0.45;0;0
13,16|13,17;-1.323527;1.959089;1.38082;0.2454;0
13,15|13,16;-1.13985;-0.15;0.1489138;-0.45;-0.4411755
13,15|13,15;0;0;0;0;0
13,15|5,8;1.182;0;0;1.182;0
13,16|5,9;0;-0.45;0;1.02;0
14,16|5,10;0.6;-0.45;0;0;-0.15
14,15|5,11;0;0;0;0.6;0
15,15|4,11;0;0;0;1.182;-0.093
15,15|3,11;0.6;-0.15;-0.6021252;0;0
15,16|2,11;0;0;0;0;0.2881052
15,16|1,11;2.011501;-0.4441936;0;0.6;0
16,16|0,11;0.8778673;0;-0.45;0.8481678;0
15,16|0,12;0;-0.45;-0.4896;0.62286;0.16761
15,15|0,13;0;0;-0.45;0;-0.15
14,15|0,14;0.6;0;0;0;0
14,16|1,14;0.6;-0.45;0;0.618;-0.15
14,17|2,14;1.182;0;0;0;-0.255
14,18|3,14;1.02324;0;0;0;-0.15
14,18|3,15;1.4274;-0.45;0;0;0
14,19|3,16;0;-0.100242;-0.765;0;0
13,19|4,16;-0.15;0;0;2.256995;0
14,19|5,16;0.2116562;-0.765;-0.4896;1.314;-0.11886
14,19|6,16;-0.223482;-0.288;-0.8109;1.728356;-0.15
15,19|7,16;0.08822999;-0.45;-0.4076586;0.634542;-0.31968
15,19|8,16;0.2062671;-0.765;0;1.347858;-0.15
16,19|9,16;0;0;-0.3788066;0;-0.1424758
15,19|10,16;-0.15;-0.45;0;0.6;-0.15
15,19|10,17;-0.15;-0.4178999;-0.1746;0;-0.009660014
15,19|11,17;-0.255;-0.45;-0.45;0;0.2072084
15,19|12,17;0;0;-0.45;1.880876;-0.15
15,19|12,18;-0.1539;0.004423271;0;1.093562;0.1821503
15,19|13,18;0.04181999;0.001138637;-0.45;1.381308;-0.0836961
15,19|14,18;-0.15;-0.45;-0.765;1.94418;0.5006521
15,19|14,19;-0.255;1.138064;-1.13985;2.18633;-0.471176
15,18|15,19;-0.45;0;-0.2695581;0;-0.37995
15,18|15,18;0;0;0;0;0
8,13|18,1;-0.15;0;0;0;0
8,13|18,2;0;0;0.6;0;0
7,13|18,3;-0.15;0;0;0;-0.15
7,13|17,3;0;0;0.6;0;0
6,13|17,4;0;0;0;0;-0.255
6,13|17,5;0;0;0;-0.603;0
7,13|17,6;0;-0.45;0.6;0;0
6,13|17,7;0;0;0;-0.765;0
7,13|16,7;0;0;0;-0.765;-0.3285
7,13|16,8;0.1254;0;0;-0.45;0
8,13|16,9;-0.093;-0.288;0;0;-0.15
8,13|16,10;-0.15;-0.45;0.6;0;0
8,12|15,10;0;-0.45;1.919899;-0.45;-0.1034137
7,12|15,11;1.71874;1.865063;-0.15;-0.43146;0.086358
7,13|15,12;0.6574828;1.455939;0.6;-0.2910528;0.2576046
6,13|15,13;-0.25464;-0.254748;0.60324;0;0.012
6,13|14,13;-0.111;0;1.182;-0.432;-0.15
6,13|13,13;0;-0.15;1.02;0;0
5,13|12,13;0.8754;-0.3285;0;-0.45;0
6,13|11,13;0.06414001;-0.132;1.562538;-0.45;0.16914
6,13|10,13;-0.15;-0.15;1.74654;-0.45;-0.255
7,13|9,13;-0.1041501;0;1.7952;-0.45;0.05571956
6,13|8,13;-0.3105;0;1.592449;-0.45;0.279138
6,13|7,13;-0.15;-0.37995;1.5894;-0.9855;-0.15
6,13|6,13;-0.15;0;0;0;0
15,6|16,18;-0.45;0;0;0;0
15,7|16,17;-0.45;0;0;0;0
15,8|16,16;-0.45;0;0;0;0
15,9|16,15;-0.2738418;0.6;0.2671196;0;0
15,8|17,15;0;0.949758;-0.15;-0.8109;0.05574
16,8|17,14;-0.45;1.182;0;-0.45;-0.132
17,8|17,13;-0.747;0;1.045155;0.4126877;-0.15
17,8|17,12;0.2296526;0.6311401;0.762;-0.45;-0.15
17,8|17,11;-0.603;0.7727095;0.762;2.222011;0.1722504
17,9|17,10;-0.9855;1.747915;0;2.989128;-0.255
17,10|17,10;0;0;0;0;0
16,10|14,0;0;0;0;0;-0.15
16,10|15,0;0.6;0;0;0;0
16,11|15,1;1.48086;0;-0.7080106;2.443974;-0.11004
16,12|15,2;0.6;-0.603;-0.2871252;0.618;0
16,11|15,3;0;-0.45;-0.603;1.452117;0.012
17,11|15,4;1.227052;0;-0.45;0;0
17,12|15,5;0;-0.45;0;0;-0.15
17,11|16,5;0;-0.45;-0.6994566;0;0.01685999
17,10|17,5;1.852739;-0.44586;0.922542;0.6;0
18,10|17,6;1.75115;-0.45;-0.288;0;-0.11508
18,9|18,6;1.099555;-0.426015;0;1.694505;0.2984406
19,9|18,7;1.319684;-0.45;-0.45;0.1991486;0.213042
18,9|18,8;1.56756;-1.13985;-0.0788094;-0.45;-0.15
19,9|19,8;2.688203;0;0;-0.15;-0.37995
19,10|19,9;2.970509;-1.13985;0.4027362;-0.15;0
19,11|19,10;3.819364;-0.765;0.6917731;-0.255;-0.3285
19,11|19,11;0;0;0;0;0
10,8|0,8;0;0;0;0.6;0
11,8|1,8;0.6;0;0;0;0
11,9|2,8;0;-0.45;0;0;0
11,8|3,8;0.6;0;-0.45;0;0
10,8|4,8;0;0;0;0.6;-0.15
11,8|5,8;1.02;0;0;0;-0.15
11,9|5,7;0;0;-0.9855;0;0
10,9|5,6;0;-0.288;-0.45;1.02;-0.237
10,9|6,6;0;-0.45;0;1.02;0
11,9|7,6;-0.05919901;-0.45;-0.43146;0;0
11,8|8,6;0.6;0.6838208;-0.45;0;-0.15
10,8|9,6;1.319508;0;0.6;0.6;0.07159939
11,8|10,6;0.6;0;2.014997;0;0.05574
10,8|11,6;1.332;0;1.642948;-0.6975;-0.15
10,9|12,6;-0.15;-0.3631914;2.099703;0;-0.15
10,9|12,7;0.3242185;-0.7373322;0.762;0;0.5041608
10,9|12,8;0.012;-0.1295752;2.188993;-0.931635;0.0204
9,9|11,8;0;-0.8109;1.182;-0.323683;0
9,8|10,8;0.129372;-0.255;2.220124;-0.765;0
9,9|9,8;-0.15;-0.45;-0.127458;1.321473;0
9,8|9,8;0;0;0;0;-0.15
10,17|11,5;0;0;0.6;0;0
9,17|11,6;0.6;-0.24426;0;0;0
9,18|12,6;1.02;-0.45;0;0;-0.093
9,19|12,7;-0.15;-0.8235;0;-0.45;0
9,18|12,8;0.6;0;0;-0.603;0
10,18|12,9;0;-0.45;1.192789;0;0
9,18|11,9;0.63996;-0.45;0;0;-0.15
9,18|10,9;1.182;0;0;0.762;0
9,19|9,9;0;-0.45;-0.45;1.182;0
10,19|8,9;-0.15;-0.45;-0.951642;0.6;0
10,18|8,10;0.6;0;-0.45;0.762;0
9,18|8,11;0;-0.45;-0.45;1.256358;0
8,18|8,12;1.314;0;-0.45;0.61854;0
8,19|8,13;0.02039999;-0.765;-0.3672268;1.010346;-0.2979
8,19|7,13;-0.255;-0.9855;0;1.314;-0.2364281
8,19|6,13;-0.15;-0.59814;-0.5349926;2.214383;-0.237
8,19|5,13;-0.3105;-0.5261427;0;0.6;0.2953704
